Theta, Alpha, Low_beta, High_beta, Gamma, Channel
2.618449085,14.07804129,25.79505973,6.697600936,3.076544503,IED_AF4
1.434233566,3.554281619,5.563124068,3.174193959,1.493509553,IED_T7
7.756230853,28.99423046,15.01493529,7.858034495,7.001940162,IED_T8
0.468370065,0.262023149,0.28278324,0.472351833,0.239187748,IED_O1
3.777432302,9.873773441,18.80318554,6.016695643,3.071413302,IED_AF3
4.421738778,11.54156539,16.84209779,5.809536697,2.707296346,IED_AF4
1.092308449,3.074492393,3.626084188,3.199152229,1.230499635,IED_T7
10.24898131,13.16107986,17.49014604,9.406696479,9.103526259,IED_T8
0.532533312,0.280888299,0.334103074,0.49790908,0.188330311,IED_O1
5.629939968,10.93880918,34.13479095,5.921006321,4.043853025,IED_AF3
6.604616256,11.67242114,32.45327343,5.400233869,3.556144912,IED_AF4
1.399806142,2.876763068,7.045496579,3.193675658,2.455098827,IED_T7
18.26120753,16.22032376,28.33732698,8.716990701,5.882111254,IED_T8
0.296212193,0.405436133,0.731638012,0.354529523,0.436227383,IED_O1
7.642923787,8.141602475,26.82669614,5.577779685,5.733684538,IED_AF3
6.442891427,8.532338871,29.26559924,5.020073647,4.144312329,IED_AF4
2.183798298,3.396182589,8.611549306,2.416501189,2.986828291,IED_T7
10.50679448,10.99123814,23.18473361,6.706672451,4.374693784,IED_T8
0.685199111,0.85474359,0.719455123,0.256324446,0.565539363,IED_O1
7.523471417,6.030862943,8.646308431,5.525075799,3.960031817,IED_AF3
5.119926743,7.119595066,6.620021455,3.526952987,2.386018212,IED_AF4
1.848475707,4.318260133,2.399399938,1.746475345,1.204925409,IED_T7
4.639834671,7.120722383,5.039883514,4.244658188,2.699637311,IED_T8
0.855724866,0.798832328,0.270983453,0.319906229,0.276706803,IED_O1
3.026873489,5.507750764,5.026149685,4.934372339,6.853884067,IED_AF3
2.453013711,7.454291053,4.67507434,2.170446478,2.683016969,IED_AF4
1.320263233,3.176080848,0.906917955,1.43316853,1.390358026,IED_T7
2.229848668,5.944391984,4.485582666,2.636215209,1.979309114,IED_T8
0.507704836,0.456377916,0.24712623,0.280818368,0.31322028,IED_O1
2.572444388,7.25756169,8.236495813,6.689327634,12.6261109,IED_AF3
2.698654334,9.368141076,12.91220881,3.765519272,3.774670602,IED_AF4
1.340014522,3.351447353,1.755660542,2.191051066,2.129450052,IED_T7
2.805988866,2.916445808,6.47520228,1.70835613,2.313128696,IED_T8
0.260296949,0.375024129,0.24982324,0.27157439,0.429165113,IED_O1
3.291921593,17.52454506,14.29307394,5.955673821,7.219861192,IED_AF3
3.736699922,20.09914869,14.5271678,3.484327648,4.233179303,IED_AF4
1.140753069,4.743877145,2.607582304,3.287098825,1.965245368,IED_T7
2.544326813,5.836810028,4.921324219,1.777530073,3.777324391,IED_T8
0.374447699,0.358029002,0.296445141,0.357680533,0.322125453,IED_O1
3.27362042,26.47612666,10.92795687,7.144521817,3.408664789,IED_AF3
2.519208183,27.69333044,7.281947195,4.786988783,3.468319209,IED_AF4
1.076380717,10.45069351,6.05623923,4.390425561,1.594591541,IED_T7
1.838343209,18.4449066,5.744208005,3.548465672,4.581764237,IED_T8
0.545969169,0.473781406,0.651984405,0.562650057,0.315963873,IED_O1
2.501884411,14.70962525,11.61170431,7.40811319,2.235837885,IED_AF3
2.315725961,15.47867526,8.333998685,7.149737937,2.549346713,IED_AF4
1.392834283,7.508437338,7.731816324,4.135466394,1.282658641,IED_T7
2.584300382,20.23816274,8.359203659,6.842523105,3.578756415,IED_T8
0.657026643,0.35047848,0.859876453,0.460573409,0.41946872,IED_O1
3.55229169,14.96808417,11.03813743,5.505184639,2.503054471,IED_AF3
4.060146286,16.09315478,9.261618827,4.631046403,2.683368754,IED_AF4
0.91757558,3.329094877,2.461875385,2.099146331,1.656672573,IED_T7
4.293383226,17.33179603,7.822306411,5.863509038,3.299182634,IED_T8
0.367900772,0.270118773,0.708414342,0.230456884,0.465844866,IED_O1
3.827018815,10.33090596,10.31929167,3.534488223,3.563364235,IED_AF3
4.478381327,12.13026673,8.897706891,2.242094408,3.609498269,IED_AF4
1.010722705,1.376405742,2.612227784,1.260399314,2.313969403,IED_T7
8.486170749,11.60057487,7.309697269,3.344520884,4.162517187,IED_T8
0.515839489,0.457007188,0.570269457,0.197003593,0.350512122,IED_O1
5.313288444,6.940980633,17.47663067,2.82105079,6.041967579,IED_AF3
7.108526905,10.9053604,19.02438328,2.856844762,5.792551712,IED_AF4
2.640440715,2.375552568,6.198179829,1.854191629,3.535216081,IED_T7
14.13782933,13.96954284,10.48761739,3.511524022,4.898434063,IED_T8
0.611928626,0.686181309,0.711732731,0.249726724,0.289264138,IED_O1
3.306858424,6.529697352,11.75396003,3.304920308,4.164282177,IED_AF3
3.707093986,9.136314244,11.74679911,4.288858109,3.388980712,IED_AF4
2.915028604,3.612133571,3.232575403,2.612936674,2.570873073,IED_T7
4.570709632,8.926621834,4.229861494,5.31517677,4.113069346,IED_T8
0.513466535,0.316648525,0.347416135,0.278846685,0.202478641,IED_O1
4.557835337,7.74301094,8.31073431,5.615638939,3.250851869,IED_AF3
3.349163961,8.83771212,7.607218061,5.839884884,2.417923526,IED_AF4
2.314448849,4.594490207,3.026040364,2.421958017,1.661055997,IED_T7
2.122430125,6.841611133,5.874068373,6.278116629,2.999701213,IED_T8
0.511795595,0.354480701,0.504089096,0.357834978,0.284534785,IED_O1
4.832487215,9.597680294,10.93004258,6.658115395,4.468258988,IED_AF3
5.547633777,9.020969451,9.599093079,6.393662795,4.063285276,IED_AF4
0.846978424,2.583465629,5.228474351,2.744830312,2.049659085,IED_T7
5.752800718,9.233130884,12.64930789,6.07174564,4.358720851,IED_T8
0.272924303,0.331459861,0.774333045,0.315839388,0.409630796,IED_O1
4.930217632,10.09803277,11.6988645,4.480474876,5.262051537,IED_AF3
5.151942663,10.15004759,10.32086469,4.414914293,4.789458811,IED_AF4
2.118058213,4.56280586,2.532133668,2.304194405,2.093435628,IED_T7
10.31790417,15.42439637,11.51880382,6.027061374,7.805868096,IED_T8
0.357372462,0.945094733,0.456876064,0.286174254,0.288918355,IED_O1
4.366310209,12.05369497,10.85458451,3.293176232,5.05855421,IED_AF3
3.845326272,13.88604706,12.23816127,3.032322021,3.809457192,IED_AF4
2.730943425,4.578243114,1.559583589,1.530254306,2.058966508,IED_T7
5.247858845,19.60641656,11.2525356,4.969109283,6.357246083,IED_T8
0.431296299,0.914562268,0.482778546,0.281551439,0.235417952,IED_O1
2.489776097,15.04579944,16.54073638,4.286614957,5.543457895,IED_AF3
1.953034988,15.50854723,21.22661474,4.315108677,5.614828612,IED_AF4
1.308515772,2.754955792,3.366984182,1.705456057,2.521213069,IED_T7
2.60186416,15.92520247,17.19022386,3.565775638,6.178992618,IED_T8
0.539189825,0.531235065,0.685357134,0.379158082,0.331570813,IED_O1
3.052326591,12.84211678,22.84781587,3.84862521,4.199269555,IED_AF3
3.657788291,13.4722642,27.58335731,4.722693509,4.563433474,IED_AF4
1.078774777,3.260903617,4.358935862,2.106905302,2.100798188,IED_T7
2.008555393,11.64034454,20.15141784,3.662234891,5.52394095,IED_T8
0.480877026,0.491722714,0.516248654,0.457905005,0.406521861,IED_O1
3.480756016,8.412013284,13.16871565,4.33700819,3.886453406,IED_AF3
5.133208373,8.924802667,11.10454867,4.703863343,3.28662538,IED_AF4
0.760457921,2.43815336,1.687375109,2.611398428,1.757086981,IED_T7
2.593392851,7.623809541,7.576525098,4.052622969,4.059750942,IED_T8
0.462271102,0.243904453,0.494189606,0.353640721,0.329252332,IED_O1
2.090880485,10.88503986,14.08989558,6.950979619,3.865650321,IED_AF3
4.2491891,8.975409826,6.866643906,5.146993491,2.789504005,IED_AF4
0.51137672,2.199149797,1.748482913,2.621407447,1.669280882,IED_T7
1.841202196,4.461449223,6.9260689,5.443514195,3.569455807,IED_T8
0.225495553,0.212021866,0.597805141,0.359743016,0.332170735,IED_O1
3.229857064,6.891648753,8.16577222,9.430837589,3.976638529,IED_AF3
3.435245049,5.406226946,4.077287459,5.120732191,2.339175569,IED_AF4
1.287345684,2.72421323,2.259445976,1.681782687,1.5567529,IED_T7
1.737505923,3.073970538,7.335204927,4.896157061,3.027187167,IED_T8
0.248592745,0.377524843,0.270222062,0.394422122,0.309195213,IED_O1
2.607625521,8.617135575,5.869051189,6.369284233,3.35427434,IED_AF3
2.273365051,7.017382316,4.315803928,3.629341974,1.831951766,IED_AF4
2.341746187,4.390047974,2.513217016,1.987250781,1.241616201,IED_T7
3.83189867,5.468349933,5.357257845,2.967532146,1.911810026,IED_T8
0.388758916,0.324066986,0.50388713,0.278986241,0.290684398,IED_O1
7.566141601,10.42629375,4.469649098,9.079494296,10.11925414,IED_AF3
7.39613669,6.56880064,3.772138338,3.753757282,3.013127971,IED_AF4
2.613918724,3.961197171,2.220671908,2.016040014,1.550470311,IED_T7
4.576649425,5.431086461,1.953569572,2.14749962,1.913763578,IED_T8
0.373237487,0.492108392,0.682842805,0.279819888,0.221024796,IED_O1
22.88895665,12.91182198,7.034728814,14.50747427,21.46881983,IED_AF3
27.01545337,5.438291282,2.583105954,3.12049876,4.971949832,IED_AF4
6.574032265,8.396653801,4.170578447,1.45794215,1.619937613,IED_T7
2.931740219,4.033047351,1.599049068,3.454192505,2.595755905,IED_T8
0.481368808,0.98132308,0.756050858,0.310832323,0.297537959,IED_O1
12.7386546,5.480386946,7.628451551,12.37526926,13.02626236,IED_AF3
17.03648165,3.422211489,3.83596893,3.313929451,3.08234883,IED_AF4
9.130675492,4.66031037,2.637355767,1.928267725,2.000948536,IED_T7
1.314076515,1.867322681,2.791643025,3.321922713,2.235817366,IED_T8
